gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season
20140904_GB@SEA,1,3,19,GB,SEA,3,8,68,(3:19) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 18-R.COBB PUSHED OB AT SEA 24 FOR 8 YARDS (41-B.MAXWELL).,0,0,2014
20140904_GB@SEA,1,2,39,GB,SEA,1,10,76,"(2:39) (NO HUDDLE, SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON TO SEA 8 FOR 16 YARDS (41-B.MAXWELL).",0,0,2014
20140904_GB@SEA,1,2,7,GB,SEA,1,8,92,(2:07) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON PUSHED OB AT SEA 2 FOR 6 YARDS (41-B.MAXWELL).,0,0,2014
20140904_GB@SEA,1,1,30,GB,SEA,2,2,98,"(1:30) 30-J.KUHN LEFT GUARD FOR 2 YARDS, TOUCHDOWN.",0,0,2014
20140904_GB@SEA,1,1,25,GB,SEA,0,0,98,"2-M.CROSBY EXTRA POINT IS GOOD, CENTER-61-B.GOODE, HOLDER-8-T.MASTHAY.",0,0,2014
20140904_GB@SEA,1,1,25,GB,SEA,0,0,35,"2-M.CROSBY KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,0,2014
20140904_GB@SEA,1,1,25,SEA,GB,1,10,20,"(1:25) 24-M.LYNCH UP THE MIDDLE TO SEA 24 FOR 4 YARDS (98-L.GUION, 50-A.HAWK). PENALTY ON SEA-68-J.BRITT, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 20 - NO PLAY.",0,0,2014
20140904_GB@SEA,1,0,59,SEA,GB,1,20,10,(:59) (SHOTGUN) 24-M.LYNCH LEFT TACKLE TO SEA 20 FOR 10 YARDS (52-C.MATTHEWS).,0,0,2014
20140904_GB@SEA,1,0,20,SEA,GB,2,10,20,(:20) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 11-P.HARVIN RAN OB AT SEA 29 FOR 9 YARDS.,0,0,2014
20140904_GB@SEA,2,15,0,SEA,GB,3,1,29,(15:00) (SHOTGUN) 24-M.LYNCH RIGHT TACKLE TO SEA 36 FOR 7 YARDS (42-M.BURNETT).,0,0,2014
20140904_GB@SEA,2,14,22,SEA,GB,1,10,36,"(14:22) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 11-P.HARVIN TO SEA 34 FOR -2 YARDS (52-C.MATTHEWS). FUMBLES (52-C.MATTHEWS), AND RECOVERS AT SEA 34. 11-P.HARVIN TO SEA 34 FOR NO GAIN (52-C.MATTHEWS).",0,0,2014
20140904_GB@SEA,2,13,39,SEA,GB,2,12,34,(13:39) 3-R.WILSON PASS DEEP LEFT TO 11-P.HARVIN PUSHED OB AT GB 33 FOR 33 YARDS (21-H.CLINTON-DIX).,0,0,2014
20140904_GB@SEA,2,13,8,SEA,GB,1,10,67,"(13:08) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 83-R.LOCKETTE FOR 33 YARDS, TOUCHDOWN.",0,0,2014
20140904_GB@SEA,2,13,0,SEA,GB,0,0,98,"4-S.HAUSCHKA EXTRA POINT IS GOOD, CENTER-49-C.GRESHAM, HOLDER-9-J.RYAN.",0,0,2014
20140904_GB@SEA,2,13,0,SEA,GB,0,0,35,4-S.HAUSCHKA KICKS 70 YARDS FROM SEA 35 TO GB -5. 26-D.HARRIS TO GB 16 FOR 21 YARDS (35-D.SHEAD).,0,0,2014
20140904_GB@SEA,2,12,54,GB,SEA,1,10,16,"(12:54) (SHOTGUN) 27-E.LACY LEFT GUARD TO GB 17 FOR 1 YARD (50-K.WRIGHT, 93-O.SCHOFIELD).",0,0,2014
20140904_GB@SEA,2,12,24,GB,SEA,2,9,17,"(12:24) 12-A.RODGERS PASS SHORT RIGHT TO 27-E.LACY TO GB 21 FOR 4 YARDS (31-K.CHANCELLOR, 54-B.WAGNER).",0,0,2014
20140904_GB@SEA,2,11,37,GB,SEA,3,5,21,(11:37) (SHOTGUN) 12-A.RODGERS PASS SHORT MIDDLE TO 18-R.COBB TO GB 32 FOR 11 YARDS (20-J.LANE).,0,0,2014
20140904_GB@SEA,2,11,14,GB,SEA,1,10,32,(11:14) 27-E.LACY LEFT TACKLE TO GB 35 FOR 3 YARDS (54-B.WAGNER; 20-J.LANE). GB-89-R.RODGERS WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE. GB-75-B.BULAGA WAS INJURED DURING THE PLAY. HE IS OUT.,0,0,2014
20140904_GB@SEA,2,10,38,GB,SEA,2,7,35,(10:38) (SHOTGUN) 44-J.STARKS UP THE MIDDLE TO GB 38 FOR 3 YARDS (54-B.WAGNER; 31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,2,9,56,GB,SEA,3,4,38,"(9:56) (SHOTGUN) 44-J.STARKS UP THE MIDDLE TO GB 44 FOR 6 YARDS (51-B.IRVIN, 54-B.WAGNER).",0,0,2014
20140904_GB@SEA,2,9,33,GB,SEA,1,10,44,(9:33) (SHOTGUN) 12-A.RODGERS PASS SHORT RIGHT TO 81-A.QUARLESS TO GB 46 FOR 2 YARDS (31-K.CHANCELLOR).,0,0,2014
20140904_GB@SEA,2,8,58,GB,SEA,2,8,46,(8:58) (SHOTGUN) 44-J.STARKS UP THE MIDDLE TO GB 49 FOR 3 YARDS (31-K.CHANCELLOR; 51-B.IRVIN).,0,0,2014
20140904_GB@SEA,2,8,21,GB,SEA,3,5,49,"(8:21) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP RIGHT TO 18-R.COBB. PENALTY ON SEA-54-B.WAGNER, DEFENSIVE PASS INTERFERENCE, 44 YARDS, ENFORCED AT GB 49 - NO PLAY.",0,0,2014
20140904_GB@SEA,2,8,13,GB,SEA,1,7,93,(8:13) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 18-R.COBB TO SEA 7 FOR NO GAIN (20-J.LANE).,0,0,2014
20140904_GB@SEA,2,7,39,GB,SEA,2,7,93,(7:39) (SHOTGUN) 27-E.LACY LEFT TACKLE TO SEA 5 FOR 2 YARDS (50-K.WRIGHT; 99-T.MCDANIEL).,0,0,2014
20140904_GB@SEA,2,7,0,GB,SEA,3,5,95,(7:00) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE SHORT MIDDLE TO 87-J.NELSON.,0,0,2014
20140904_GB@SEA,2,6,55,GB,SEA,4,5,95,"(6:55) 2-M.CROSBY 23 YARD FIELD GOAL IS GOOD, CENTER-61-B.GOODE, HOLDER-8-T.MASTHAY.",0,0,2014
20140904_GB@SEA,2,6,52,GB,SEA,0,0,35,2-M.CROSBY KICKS 66 YARDS FROM GB 35 TO SEA -1. 11-P.HARVIN TO SEA 30 FOR 31 YARDS (28-S.RICHARDSON).,0,0,2014
